iter	Passed	Remaining
0	29	29091
1	34	17303
2	51	17209
3	63	15907
4	83	16673
5	100	16614
6	104	14817
7	118	14736
8	133	14728
9	142	14106
10	148	13336
11	153	12645
12	154	11735
13	167	11766
14	180	11848
15	183	11295
16	203	11776
17	225	12307
18	246	12745
19	267	13118
20	289	13505
21	309	13752
22	313	13336
23	322	13110
24	325	12684
25	330	12392
26	336	12132
27	350	12173
28	369	12358
29	371	12007
30	391	12221
31	392	11869
32	398	11667
33	416	11845
34	423	11685
35	450	12053
36	454	11819
37	473	11996
38	492	12143
39	507	12176
40	535	12524
41	541	12362
42	546	12160
43	568	12359
44	591	12542
45	613	12719
46	627	12719
47	646	12826
48	660	12827
49	682	12966
50	702	13074
51	720	13140
52	726	12982
53	731	12806
54	735	12630
55	754	12717
56	775	12832
57	786	12775
58	809	12912
59	836	13101
60	861	13260
61	871	13187
62	890	13251
63	912	13349
64	926	13325
65	927	13131
66	931	12973
67	952	13052
68	964	13017
69	971	12910
70	984	12887
71	989	12752
72	990	12579
73	1005	12587
74	1016	12537
75	1035	12586
76	1052	12614
77	1058	12508
78	1077	12564
79	1085	12482
80	1105	12537
81	1113	12470
82	1130	12487
83	1134	12373
84	1151	12394
85	1172	12457
86	1177	12353
87	1192	12361
88	1196	12243
89	1216	12298
90	1219	12178
91	1227	12116
92	1238	12080
93	1243	11986
94	1247	11884
95	1264	11909
96	1279	11912
97	1283	11816
98	1300	11837
99	1320	11882
100	1336	11892
101	1350	11890
102	1354	11797
103	1359	11708
104	1373	11706
105	1380	11646
106	1396	11651
107	1421	11741
108	1442	11788
109	1446	11699
110	1465	11734
111	1486	11787
112	1499	11768
113	1505	11702
114	1524	11730
115	1538	11722
116	1553	11721
117	1561	11670
118	1576	11673
119	1590	11660
120	1606	11667
121	1624	11692
122	1641	11700
123	1657	11706
124	1672	11704
125	1687	11703
126	1701	11698
127	1704	11610
128	1719	11607
129	1733	11601
130	1747	11592
131	1762	11588
132	1775	11576
133	1790	11569
134	1805	11566
135	1808	11489
136	1812	11419
137	1826	11406
138	1840	11401
139	1844	11328
140	1846	11249
141	1860	11242
142	1874	11231
143	1877	11162
144	1891	11150
145	1905	11143
146	1913	11102
147	1917	11039
148	1931	11031
149	1936	10970
150	1951	10969
151	1966	10969
152	1968	10899
153	1982	10889
154	1995	10880
155	2009	10872
