iter	RMSE
0	95.22977648
1	92.78348692
2	90.8985078833	89.1189551
4	87.48353649
5	86.12892798
6	84.57945583
77	83.320167278	81.84611643
9	80.66905199
10	79.5511637
11	78.50341011
12	77.6133149
13	76.66171037
14	75.81095262
15	75.00242887
16	74.22974952
17	73.5219961
18	72.90360456
19	72.36453569
20	71.74095075
21	21	71.474222222	70.3267718122323	70.480014224	69.4059232522525	69.67767626	69.0582629
27	68.67817659
28	68.33263925
29	68.03468212
30	30	67.87970731	67.39299017
32	67.14806106
33	66.90313694
34	66.62247488
35	66.34813113
36	66.10196407
37	65.87165703
3838	65.902644239	65.43061274
4040	65.50588454141	65.290035942	64.90721876
43	64.72862255
44	64.55344854445	64.37716065
46	64.19657038
447	64.31352704448	64.14635466449	64.0240000750	63.52766854
51	63.39756685552	63.28370372553	63.17317146554	63.06753511
55	62.96904211
56	62.80848595757	62.66888125858	62.55842275959	62.41175983
60	62.2843971
61	62.17062249
62	62.05107981
63	61.96208049
64	61.88387226
65	61.8251366	666	61.7416767	667	61.57383187
68	61.50509516969	61.39524707070	61.2848271	671	61.2052472	672	61.1475473	673	61.0451974	674	60.93838757575	60.81224287676	60.75190057777	60.682070178	60.78248384
79	60.67782717
80	60.58342078
81	60.51541544
82	60.40325707
83	60.32470583
84	60.1982251
85	60.13180866
86	60.09834786
87	60.02829545
88	59.94778287
89	59.87941053
90	59.80722201
91	59.75024798
9292	59.464189893	59.58572195
94	59.49768197
95	59.43031368
96	59.33238711
97	59.2427271
98	59.1981943
99	59.10881453
100	59.0462603
101	58.97428295
102	58.87974024
103	58.82288579
104	58.75124474
105	58.71076501
106	58.6511585
107	58.57470145
108	58.48253073
109	58.43073554
110	58.37678794
111	58.29565926
112112	57.923645113113	57.836387114	58.08038509
115	57.93047674
116116	57.63285117	117	57.55516118	118	57.44385119	119	57.39193120	120	57.30990121	57.51624295
122	122	57.19804123	123	57.08168124	124	57.00148125	125	56.9543126	5126	56.8961127	5127	56.8084128	128	56.76254129	129	56.6911130	5130	56.6231131	56.92535202
132	56.82902272
133	133	56.49323134	134	56.39770135	135	56.342301361136	56.298503811137	56.178849851138	56.049646411139	55.99537474
140	55.92717771
141	55.84426975
142	55.808230081143	55.76503779
144	55.669674714145	55.61410321146	55.533235591147	55.148	55.7148	55.23001959
149	55.14897394
150	55.33768862
151	55.26208124
152	55.18803415
153	55.10708936
154	55.07012064
155	54.77827882
156	54.6157	55.1157	54.60522805
158	54.53004866
159	54.45892689
160	54.40673173
161	54.3162	54.8162	54.2163	54.7163	54.1164	54.6164	54.0165	54.6165	53.9166	54.5166	53.9167	54.4167	53.8168	54.4168	54.2169	54.38185415
170	54.3170	53.6171	54.2171	53.5172	54.18330676
173	54.13410344
174	54.05872502
175	53.175	53.81176	53.176	53.77177	53.86841437
178	53.78190253
179	53.74093694
180	53.68615952
181	53.61756008
182	53.57789437
183	53.51802714
184	53184	53.287185	5185	53.2449186	5186	53.1948187	53.23678048
188	5188	53.094189	53189	53.048190	5190	52.9653191	5191	52.9126192	52.934538
193	52.8837852
194	52.79713618
195	52.72239361
196	52.65557596
197	52.60832045
198	52.5545225
199	52.50333117
200	52.39462872
201	52.36329263
202	52.28354749
203	52.21018376
204	52.18449036
205	52205	51.565206	52.07533886
207	51.207	51.97208	51.93562776
209	51.88665936
210	51.84004247
211	51.79438759
212	51.212	51.6213	51.6213	51.6214	51.59467586
215	51.53631597
216	51.47326128
217	51.41505881
218	218	50.77400145
219	50.72793937
220	50.6619557
221	50.61516031
222	50.54315124
223	50.49655026
224	50.44730232
225	50.39410558
226	50.34331351
227	50.29650093
228	50.22293117
229	50.17385439
230	50.09027231	231	50.03793232	232	49.96881233	50.57274399
234	234	49.85267235	235	49.79896236	236	49.7199171
237	49.66424116
238	49.60752689
239	49.54422691
240	49.44992412
241	49.40157555
242	49.34896739
243	49.29820686
244	49.25305048
245	49.18814667
246	49.12551031
247	49.08521094
248	49.04473558
249	48.99449215
250	48.95533119
251	48.86501641
252	48.81284331
253	48.76815365
254	48.73122824
255	48.659681
256	48.5976734
257	48.53933438
258	48.47830899
259	48.42533062
260	48.37331343
261	48.29479386
262	48.24795648
263	48.19994145
264	48.13573673
265	48.07957109
266	48.04729033
267	48.00085008
268	47.95798642
269	47.91800984
270	47.88559796
271	47.83373757
272	47.77479262
273	47.7344372
274	47.6909066
275	47.64916976
276	47.59839168
277	47.55306258
278	47.50601086
279	47.44704714
280	47.39230563
281	47.33308924
282	47.27215735
283	47.22753361
284	47.17142913
285	47.1422254
286	47.09771372
287	47.04872498
288	47.00757439
289	46.96330603
290	46.89752757
291	46.84030729
292	46.8001846
293	46.75550871
294	46.72874807
295	46.68691082
296	46.62540385
297	46.58304051
298	46.55358686
299	46.48196843
300	46.42693638
301	46.38357409
302	46.32681401
303	46.27008425
304	46.19273723
305	46.15250771
306	46.10974617
307	46.08086467
308	46.01594829
309	45.95489538
310	45.90335304
311	45.86129573
312	45.81826954
313	45.73546277
314	45.68167959
315	45.63518224
316	45.58470341
317	45.5414722
318	45.50380305
319	45.46586263
320	45.40462191
321	45.37204643
322	45.33235673
323	45.25145121
324	45.2164864
325	45.15526848
326	45.12226113
327	45.08954173
328	45.04037115
329	44.97990464
330	44.92698263
331	44.88172578
332	44.82913641
333	44.77590235
334	44.7351318
335	44.70103331
336	44.6487978
337	44.60787987
338	44.54169902
339	44.51171164
340	44.47148105
341	44.4107745
342	44.37264283
343	44.32822909
344	44.2813662
345	44.22088657
346	44.17666464
347	44.125809
348	44.07466813
349	44.04122952
350	43.99062002
351	43.94365781
352	43.90531733
353	43.86522644
354	43.82897462
355	43.78087294
356	43.74300729
357	43.71015213
358	43.66736172
359	43.61562326
360	43.57543509
361	43.52421983
362	43.47445225
363	43.44475493
364	43.41452053
365	43.37386829
366	43.34852722
367	43.2857246
368	43.24316609
369	43.19549595
370	43.1617133
371	43.14309371
372	43.09744483
373	43.0629617
374	43.02382632
375	42.9760542
376	42.92995351
377	42.88720842
378	42.86481857
379	42.79552939
380	42.75918223
381	42.7084999
382	42.65108805
383	42.62231453
384	42.59004249
385	42.56097392
386	42.52703454
387	42.50003738
388	42.44153017
389	42.39736124
390	42.3676051
391	42.33143184
392	42.2954642
393	42.26036453
394	42.23160655
395	42.20817936
396	42.17015386
397	42.13110207
398	42.07438341
399	42.03781362
400	41.99523759
401	41.94528572
402	41.89042836
403	41.84960151
404	41.82304221
405	41.77755052
406	41.73530342
407	41.70297788
408	41.63484204
409	41.60072929
410	41.53376241
411	41.50354868
412	41.47067659
413	41.44834788
414	41.41032691
415	41.33568673
416	41.30504546
417	41.25485434
418	41.20776097
419	41.17798063
420	41.13772247
421	41.09807677
422	41.07026821
423	41.04168666
424	41.00917028
425	40.97561227
426	40.94573209
427	40.87142566
428	40.82684475
429	40.79405117
430	40.75620327
431	40.7148425
432	40.69182243
433	40.64546263
434	40.61099046
435	40.55568805
436	40.50488304
437	40.46162492
438	40.42742856
439	40.38678229
440	40.36029525
441	40.32722339
442	40.30067807
443	40.2637665
444	40.22117734
445	40.190125
446	40.15973336
447	40.13273942
448	40.10203814
449	40.04080175
450	39.99910405
451	39.96275194
452	39.93060369
453	39.89667249
454	39.85162561
455	39.8127101
456	39.77805998
457	39.74897961
458	39.70169545
459	39.66547801
460	39.63302139
461	39.57332542
462	39.55115312
463	39.52386351
464	39.4867469
465	39.45971273
466	39.43279377
467	39.40879086
468	39.37980431
469	39.34528036
470	39.31356761
471	39.28443678
472	39.24586197
473	39.20288553
474	39.17083247
475	39.15683105
476	39.1214537
477	39.07925959
478	39.04934487
479	39.002023
480	38.98480556
481	38.95195088
482	38.91417292
483	38.88994756
484	38.86206341
485	38.83318467
486	38.80499301
487	38.77338539
488	38.73772918
489	38.71207796
490	38.65702295
491	38.62989097
492	38.59792567
493	38.5667888
494	38.53463814
495	38.49632732
496	38.45866993
497	38.4206864
498	38.39047876
499	38.36786242
500	38.31656422
501	38.28975721
502	38.24835422
503	38.20682538
504	38.16720294
505	38.13150964
506	38.10527516
507	38.08094052
508	38.06238672
509	38.0419702
510	38.02327971
511	38.00167213
512	37.97539947
513	37.96066822
514	37.91484749
515	37.88499988
516	37.84729811
517	37.83631397
518	37.80178825
519	37.78081455
520	37.75034348
521	37.72052094
522	37.69826132
523	37.66319089
524	37.63424325
525	37.60522063
526	37.57691149
527	37.54563613
528	37.49226418
529	37.47045321
530	37.44499693
531	37.41552567
532	37.37189075
533	37.34046589
534	37.30866703
535	37.27083761
536	37.26051087
537	37.24749286
538	37.21953253
539	37.17631838
540	37.14461005
541	37.12106723
542	37.07082973
543	37.03227504
544	37.01243213
545	36.98260527
546	36.97117167
547	36.92350818
548	36.89845363
549	36.86980584
550	36.84222895
551	36.81908291
552	36.79608495
553	36.78081211
554	36.76070591
555	36.74002795
556	36.70333936
557	36.68060309
558	36.6261237
559	36.5920674
560	36.55963414
561	36.54411291
562	36.50619605
563	36.47137249
564	36.42888875
565	36.41195269
566	36.3974316
567	36.35093456
568	36.32591809
569	36.28884821
570	36.24683995
571	36.21356979
572	36.19208129
573	36.17488325
574	36.14637448
575	36.10057652
576	36.06494539
577	36.02126452
578	35.99982398
579	35.97866574
580	35.95678849
581	35.93158861
582	35.90846279
583	35.88011686
584	35.83005115
585	35.81703793
586	35.77863662
587	35.7443036
588	35.70682025
589	35.66711789
590	35.62117033
591	35.58642855
592	35.5610024
593	35.53527291
594	35.50784665
595	35.47002203
596	35.43737347
597	35.41417211
598	35.39427871
599	35.37222872
600	35.34652421
601	35.32315079
602	35.2994136
603	35.26890785
604	35.24475625
605	35.21238831
606	35.17542192
607	35.1561064
608	35.12407604
609	35.10279214
610	35.07701651
611	35.04959078
612	35.02302157
613	34.99899397
614	34.97334184
615	34.94043783
616	34.90136947
617	34.88183177
618	34.84378986
619	34.79346619
620	34.77033951
621	34.75156335
622	34.71918016
623	34.69149967
624	34.66449532
625	34.63646349
626	34.61187301
627	34.59397475
628	34.57104716
629	34.54505476
630	34.51214719
631	34.48453873
632	34.44754115
633	34.42412982
634	34.40304967
635	34.38324403
636	34.35578179
637	34.32320905
638	34.27651037
639	34.25807465
640	34.2214998
641	34.19666148
642	34.16331383
643	34.14005883
644	34.10468578
645	34.0748183
646	34.05178315
647	34.02977877
648	34.01232526
649	33.98227286
650	33.96832527
651	33.94452586
652	33.91599385
653	33.89522877
654	33.87569424
655	33.84162545
656	33.82486349
657	33.79576637
658	33.7551246
659	33.7133902
660	33.69892507
661	33.6835361
662	33.65308717
663	33.63119617
664	33.60753513
665	33.57026387
666	33.54454184
667	33.51896933
668	33.49474025
669	33.46158776
670	33.43609029
671	33.41316386
672	33.38852132
673	33.34973013
674	33.33206682
675	33.30963207
676	33.27423394
677	33.24839485
678	33.19739756
679	33.1617304
680	33.1382138
681	33.11034165
682	33.07709587
683	33.05315618
684	33.02476625
685	33.00616552
686	32.98454184
687	32.96024201
688	32.95191412
689	32.93855512
690	32.92587981
691	32.90983902
692	32.87880258
693	32.85525297
694	32.81945048
695	32.7863318
696	32.76028355
697	32.73641961
698	32.70726603
