iter	RMSE
0	4.826518309
1	4.745043235
2	4.664356472
3	4.585322915
4	4.507759165
5	4.431758803
6	4.3568396
7	4.283096895
8	4.210283625
9	4.13911869
10	4.069086179
11	4.000180719
12	3.932425049
13	3.865867451
14	3.800704077
15	3.736826592
16	3.673873354
17	3.612098051
18	3.551392848
19	3.491466875
20	3.432911545
21	3.375367275
22	3.318494502
23	3.26285068
24	3.207957093
25	3.154270089
26	3.101001181
27	3.049449088
28	2.998062306
29	2.947698105
30	2.898470611
31	2.849812662
32	2.80188734
33	2.754918984
34	2.709206725
35	2.663972749
36	2.619509903
37	2.575526975
38	2.532715768
39	2.490486187
40	2.448964822
41	2.407969311
42	2.368507284
43	2.32926816
44	2.290542561
45	2.252525913
46	2.21515156
47	2.178649834
48	2.142665407
49	2.107540804
50	2.072845002
51	2.038585209
52	2.005003217
53	1.971942026
54	1.939322317
55	1.907559765
56	1.876261621
57	1.84557795
58	1.815474687
59	1.785854377
60	1.757161433
61	1.728821293
62	1.700806075
63	1.673225548
64	1.646238121
65	1.619672957
66	1.593572662
67	1.568181618
68	1.542874789
69	1.518208985
70	1.493898478
71	1.470478928
72	1.44719061
73	1.424322939
74	1.401510454
75	1.379356534
76	1.35771987
77	1.33691984
78	1.315795692
79	1.295297804
80	1.275026271
81	1.255088254
82	1.23553687
83	1.216525659
84	1.197695425
85	1.179028185
86	1.160846791
87	1.143267354
88	1.125876631
89	1.108926564
90	1.092144369
91	1.075472274
92	1.059140308
93	1.043611349
94	1.028106103
95	1.012928094
96	0.9978927463
97	0.9832296335
98	0.9685831261
99	0.9546739762
100	0.9406988159
101	0.9272120551
102	0.9137281326
103	0.9005175002
104	0.8877791962
105	0.8753279016
106	0.8629798692
107	0.8510167581
108	0.8392903818
109	0.8279076611
110	0.816517115
111	0.8056184902
112	0.7945971798
113	0.7837643161
114	0.7731912366
115	0.7626581805
116	0.7527967391
117	0.7431630589
118	0.7336957684
119	0.7242673493
120	0.7147374334
121	0.7054671785
122	0.6965786259
123	0.6882999375
124	0.6796391338
125	0.6714129615
126	0.6634979176
127	0.655122839
128	0.6472750801
129	0.6395015892
130	0.6318422116
131	0.6247961957
132	0.6175777498
133	0.6103627319
134	0.6033490688
135	0.5966881782
136	0.5897712865
137	0.5837031454
138	0.5770379688
139	0.5709987994
140	0.5648541628
141	0.558563579
142	0.5526885288
143	0.5472256306
144	0.5415752538
145	0.5362444639
146	0.5306839054
147	0.5252624215
148	0.5201815856
149	0.5152471403
150	0.5101553336
151	0.5051492665
152	0.5007958258
153	0.4960206806
154	0.491615914
155	0.4871416546
156	0.4828651637
157	0.4785399024
158	0.4742199307
159	0.470171565
160	0.4659466713
161	0.4623243475
162	0.4586450558
163	0.4549423468
164	0.4512998951
165	0.447850143
166	0.4443336517
167	0.4412888598
168	0.4380490118
169	0.4348368337
170	0.4316846332
171	0.4286333904
172	0.4258523506
173	0.4228954307
174	0.4201006335
175	0.4173876294
176	0.4148613069
177	0.412147869
178	0.4092292304
179	0.4065720172
180	0.4038773738
181	0.4015637275
182	0.3991225095
183	0.3972670914
184	0.3949516447
185	0.3925794422
186	0.3903929313
187	0.3882858681
188	0.3861230559
189	0.3840648981
190	0.3821119483
191	0.380035337
192	0.3786554834
193	0.3770939537
194	0.3751746385
195	0.3735005986
196	0.3722785642
197	0.3705870384
198	0.368877832
199	0.3674025163
200	0.3658355308
201	0.3641891773
202	0.3630601275
203	0.3613620151
204	0.359922206
205	0.3584448927
206	0.357544126
207	0.3561384319
208	0.3548342239
209	0.3533790437
210	0.3521038942
211	0.3509407597
212	0.3498900118
213	0.3490782304
214	0.348022114
215	0.3469534032
216	0.3457412048
217	0.3444612031
218	0.3434836489
219	0.3424105627
220	0.3413619434
221	0.3403275162
222	0.3393839034
223	0.3384359905
224	0.3375900767
225	0.3367741164
226	0.3362941268
227	0.3352709699
228	0.3345474081
229	0.3335661066
230	0.332739004
231	0.3319260075
232	0.3310217005
233	0.3305567456
234	0.3297643795
235	0.3289840079
236	0.3285398546
237	0.3276617572
238	0.3268387822
239	0.3261432781
240	0.3256127627
241	0.3249689742
242	0.3246740172
243	0.3240823218
244	0.3232951183
245	0.322733857
246	0.3219819616
247	0.3214877346
248	0.3209259514
249	0.320431335
250	0.3197822625
251	0.3191925669
252	0.3186011203
253	0.318095692
254	0.317846011
255	0.3173839597
256	0.3170012489
257	0.3164462208
258	0.315936592
259	0.3154887679
260	0.3150264224
261	0.3146000905
262	0.3140893582
263	0.3135033897
264	0.3132091295
265	0.3126809451
266	0.3123367663
267	0.3120335655
268	0.3115064984
269	0.3111224939
270	0.3106713737
271	0.3102618518
272	0.3098528116
273	0.3095270115
274	0.309338665
275	0.3090205792
276	0.3085712436
277	0.3082414141
278	0.3078941215
279	0.3078100793
280	0.3074240604
281	0.3070368314
282	0.3066702356
283	0.3062722497
284	0.3058942289
285	0.3055125124
286	0.3051286486
287	0.3047901264
288	0.3045522755
289	0.3042061666
290	0.3039684376
291	0.3036360605
292	0.303379195
293	0.3030261429
294	0.3026713287
295	0.3022210841
296	0.301882769
297	0.3016232636
298	0.3013696374
299	0.3010808809
300	0.3007538058
301	0.3007006069
302	0.3003826343
303	0.3000923069
304	0.2998052361
305	0.2995063349
306	0.2991413447
307	0.2988974022
308	0.298611799
309	0.2982888857
310	0.2981028466
311	0.2977953943
312	0.2975432387
313	0.2972010124
314	0.2968680356
315	0.2966615282
316	0.2965305897
317	0.2963435767
318	0.2960894998
319	0.2958198051
320	0.2954619941
321	0.2952608149
322	0.2952409545
323	0.2950585405
324	0.2948820394
325	0.2945758979
326	0.2942393443
327	0.293980574
328	0.293729614
329	0.2934279492
330	0.2932149216
331	0.2930363136
332	0.2927887821
333	0.2926675456
334	0.2924665615
335	0.2923334903
336	0.2923211188
337	0.2921142224
338	0.2918467587
339	0.2916388014
340	0.2916189226
341	0.2914594458
342	0.2913065685
343	0.291219393
344	0.2909986159
345	0.2908853339
346	0.2907021128
347	0.2905277081
348	0.290390808
349	0.2902001066
350	0.2899792306
351	0.2896546408
352	0.2894372469
353	0.2893456944
354	0.28916497
355	0.2889097565
356	0.2887221125
357	0.2885481144
358	0.2883907295
359	0.2882313369
360	0.2881261967
361	0.2879935708
362	0.2878156046
363	0.2875475837
364	0.2874172158
365	0.2872288819
366	0.287017222
367	0.2868811257
368	0.2866765939
369	0.2865020707
370	0.2862128361
371	0.2860360507
372	0.285816869
373	0.2856886571
