iter	Passed	Remaining
0	26	26366
1	34	17263
2	64	21517
3	86	21635
4	118	23575
5	122	20251
6	130	18551
7	158	19695
8	181	19937
9	207	20554
10	231	20812
11	252	20783
12	274	20819
13	300	21134
14	321	21098
15	329	20237
16	353	20444
17	361	19706
18	379	19579
19	388	19044
20	395	18423
21	401	17870
22	412	17531
23	433	17623
24	464	18122
25	470	17634
26	500	18041
27	509	17691
28	534	17899
29	566	18325
30	576	18013
31	611	18482
32	644	18871
33	669	19018
34	677	18668
35	708	18964
36	736	19171
37	751	19033
38	758	18697
39	779	18699
40	806	18855
41	829	18922
42	833	18560
43	845	18366
44	868	18423
45	879	18236
46	894	18142
47	918	18210
48	935	18155
49	947	18011
50	956	17803
51	974	17763
52	994	17761
53	1012	17739
54	1020	17540
55	1042	17565
56	1063	17591
57	1084	17607
58	1099	17530
59	1108	17372
60	1112	17126
61	1116	16887
62	1132	16837
63	1152	16860
64	1159	16684
65	1179	16686
66	1197	16675
67	1204	16512
68	1208	16308
69	1214	16131
70	1220	15971
71	1225	15789
72	1249	15867
73	1255	15716
74	1271	15677
75	1276	15524
76	1288	15444
77	1291	15267
78	1310	15278
79	1315	15128
80	1332	15116
81	1351	15128
82	1365	15086
83	1386	15116
84	1405	15133
85	1422	15119
86	1442	15137
87	1455	15086
88	1460	14951
89	1464	14809
90	1473	14718
91	1481	14616
92	1501	14645
93	1503	14490
94	1507	14358
95	1514	14258
96	1531	14256
97	1551	14276
98	1566	14259
99	1572	14154
100	1583	14093
101	1588	13987
102	1603	13966
103	1617	13932
104	1631	13907
105	1639	13826
106	1647	13749
107	1655	13671
108	1659	13565
109	1672	13534
110	1692	13557
111	1704	13518
112	1725	13548
113	1743	13547
114	1756	13521
115	1772	13505
116	1775	13396
117	1778	13294
118	1793	13274
119	1808	13260
120	1822	13237
121	1831	13184
122	1841	13127
123	1845	13037
124	1860	13021
125	1874	13002
126	1877	12909
127	1892	12892
128	1907	12877
129	1920	12855
130	1935	12839
131	1938	12743
132	1951	12723
133	1968	12720
134	1989	12747
135	1993	12666
136	2008	12652
137	2010	12557
138	2026	12555
139	2031	12481
140	2047	12472
141	2061	12455
142	2076	12442
143	2093	12441
144	2108	12434
145	2120	12400
146	2140	12419
147	2162	12449
148	2186	12486
149	2197	12453
150	2216	12464
151	2235	12471
152	2242	12414
153	2259	12410
154	2276	12408
155	2293	12407
156	2311	12411
157	2331	12426
158	2348	12421
159	2366	12424
160	2386	12436
161	2403	12432
162	2409	12375
163	2425	12363
164	2442	12360
165	2461	12367
166	2479	12366
167	2483	12301
168	2499	12289
169	2519	12302
170	2542	12326
171	2563	12341
172	2582	12344
173	2603	12361
174	2630	12401
175	2648	12401
176	2667	12402
177	2684	12395
178	2700	12385
179	2717	12380
180	2734	12374
181	2750	12363
182	2771	12371
183	2774	12304
184	2789	12287
185	2803	12270
186	2818	12253
187	2833	12237
188	2849	12228
189	2865	12215
190	2882	12208
191	2898	12198
192	2900	12128
193	2904	12069
194	2919	12053
195	2934	12036
196	2935	11965
197	2950	11950
198	2965	11936
199	2981	11924
200	2995	11907
201	3013	11905
202	3017	11846
203	3033	11837
204	3054	11844
205	3073	11844
206	3075	11783
207	3094	11783
208	3113	11783
209	3135	11797
210	3157	11808
211	3176	11808
212	3197	11813
213	3204	11768
214	3222	11764
215	3242	11767
216	3262	11771
217	3278	11760
218	3293	11743
219	3309	11733
220	3325	11721
221	3341	11711
222	3359	11704
223	3375	11694
224	3390	11678
225	3407	11668
226	3410	11612
227	3426	11601
228	3442	11589
229	3458	11577
230	3475	11571
231	3498	11580
232	3520	11589
233	3526	11544
234	3542	11530
235	3560	11527
236	3568	11489
237	3586	11482
238	3601	11466
239	3618	11457
240	3634	11446
241	3650	11435
242	3653	11381
243	3668	11366
244	3684	11353
245	3700	11342
246	3716	11330
247	3732	11319
248	3749	11308
249	3770	11312
250	3790	11310
251	3811	11312
252	3832	11315
253	3855	11323
254	3858	11273
255	3879	11275
256	3904	11287
257	3929	11300
258	3950	11303
259	3971	11302
260	3991	11301
261	4008	11292
262	4030	11295
263	4052	11297
264	4073	11297
265	4095	11301
266	4115	11299
267	4133	11290
268	4157	11297
269	4180	11304
270	4202	11304
271	4220	11294
272	4237	11284
273	4261	11291
274	4270	11259
275	4287	11247
276	4303	11233
277	4322	11226
278	4339	11214
279	4341	11162
280	4357	11150
281	4375	11139
282	4391	11127
283	4407	11111
284	4424	11099
285	4446	11100
286	4467	11098
287	4483	11085
288	4500	11072
289	4515	11054
290	4530	11037
291	4545	11021
292	4561	11006
293	4576	10990
294	4593	10977
295	4611	10967
296	4628	10956
297	4645	10943
298	4661	10929
299	4675	10910
300	4690	10891
301	4692	10844
302	4705	10825
303	4720	10807
304	4735	10791
305	4757	10790
306	4777	10783
307	4797	10778
308	4818	10775
309	4837	10768
310	4863	10775
311	4882	10766
312	4902	10760
313	4922	10755
314	4940	10744
315	4958	10733
316	4973	10715
317	4988	10698
318	5002	10680
319	5018	10664
320	5034	10649
321	5050	10633
322	5051	10587
323	5066	10571
324	5080	10552
325	5096	10537
326	5111	10519
327	5128	10506
328	5144	10491
329	5161	10479
330	5176	10462
331	5192	10447
332	5206	10429
333	5223	10414
334	5239	10399
335	5255	10385
336	5256	10341
337	5271	10325
338	5287	10310
339	5302	10293
340	5305	10253
341	5320	10235
342	5335	10219
343	5348	10199
344	5363	10181
345	5377	10164
346	5392	10148
347	5408	10132
348	5423	10116
349	5444	10110
350	5464	10103
351	5479	10087
352	5499	10079
353	5517	10068
354	5531	10050
355	5548	10037
356	5565	10024
357	5581	10009
358	5597	9993
359	5611	9976
360	5627	9960
361	5641	9942
362	5655	9924
363	5670	9907
364	5685	9890
365	5700	9874
366	5715	9858
367	5731	9843
368	5747	9828
369	5763	9813
370	5780	9799
371	5798	9788
372	5815	9775
373	5830	9759
374	5846	9743
375	5862	9729
376	5881	9718
377	5896	9703
378	5912	9687
379	5926	9669
380	5941	9652
381	5955	9635
382	5969	9616
383	5983	9598
384	5998	9582
385	6014	9566
386	6030	9551
387	6046	9538
388	6062	9522
389	6077	9506
390	6092	9489
391	6108	9473
392	6123	9458
393	6139	9443
394	6155	9427
395	6171	9412
396	6187	9398
397	6202	9382
398	6218	9367
399	6233	9350
400	6249	9335
401	6264	9318
402	6278	9300
403	6293	9283
404	6308	9267
405	6321	9249
406	6337	9233
407	6351	9215
408	6366	9199
409	6381	9182
410	6395	9165
411	6411	9150
412	6427	9136
413	6443	9120
414	6459	9105
415	6473	9088
416	6491	9075
417	6508	9061
418	6523	9045
419	6537	9028
420	6553	9013
421	6567	8995
422	6582	8978
423	6597	8962
424	6612	8945
425	6626	8928
426	6641	8911
427	6655	8894
428	6669	8877
429	6685	8862
430	6704	8851
431	6723	8839
432	6749	8838
433	6769	8828
434	6785	8813
435	6801	8798
436	6805	8767
437	6820	8750
438	6835	8734
439	6849	8717
440	6864	8701
441	6879	8684
442	6894	8668
443	6908	8651
444	6923	8635
445	6938	8618
446	6952	8600
447	6967	8584
448	6981	8567
449	6995	8550
450	7011	8534
451	7027	8519
452	7044	8505
453	7059	8490
454	7074	8474
455	7090	8459
456	7105	8442
457	7120	8426
458	7135	8410
459	7152	8396
460	7168	8380
461	7182	8363
462	7197	8348
463	7211	8330
464	7226	8313
465	7240	8296
466	7255	8280
467	7275	8269
468	7294	8258
469	7311	8244
470	7333	8236
471	7350	8222
472	7369	8210
473	7391	8202
474	7412	8193
475	7431	8181
476	7448	8166
477	7466	8153
478	7486	8143
479	7502	8127
480	7521	8116
481	7541	8104
482	7555	8087
483	7579	8080
484	7596	8066
485	7613	8051
486	7635	8042
487	7650	8027
488	7670	8015
489	7685	7998
490	7699	7982
491	7714	7965
492	7733	7953
493	7748	7936
494	7765	7922
495	7783	7908
496	7797	7891
497	7812	7875
498	7827	7859
499	7842	7842
500	7845	7814
501	7860	7797
502	7875	7781
503	7891	7765
504	7905	7749
505	7921	7733
506	7937	7718
507	7952	7701
508	7965	7684
509	7981	7668
510	7995	7651
511	8011	7635
512	8025	7619
513	8041	7603
514	8055	7586
515	8070	7570
516	8086	7555
517	8102	7539
518	8117	7523
519	8134	7508
520	8150	7493
521	8165	7476
522	8180	7460
523	8195	7444
524	8210	7428
525	8226	7413
526	8245	7400
527	8263	7387
528	8279	7371
529	8294	7355
530	8307	7337
531	8321	7320
532	8336	7304
533	8350	7286
534	8365	7270
535	8379	7254
536	8394	7237
537	8409	7221
538	8423	7204
539	8438	7188
540	8453	7172
541	8467	7155
542	8482	7139
543	8497	7123
544	8517	7111
545	8536	7098
546	8550	7081
547	8566	7065
548	8581	7049
549	8595	7033
550	8611	7017
551	8626	7001
552	8641	6984
553	8656	6968
554	8671	6952
555	8686	6936
556	8701	6920
557	8717	6905
558	8733	6889
559	8750	6875
560	8767	6860
561	8783	6845
562	8801	6831
563	8822	6820
564	8840	6806
565	8860	6794
566	8882	6783
