iter	Logloss
0	0.6841671853
1	0.675760312122	0.667166631933	0.65898951374	0.6502257563
5	0.6423659463
6	0.6349442905
7	0.629130723
8	0.6226210999
9	9	0.6152785791010	0.609455502111	0.6031150297112	0.5974638701313	0.591409029114	0.5861798461115	0.5808507864116	0.5761777601117	0.5708508265118	0.5658159385119	0.5609385315220	0.555742854
21	0.551745014
22	0.5482128404
23	0.5434796491
24	0.5389317456
25	0.5349849533226	0.5307862537227	0.5267934772228	0.5224590456229	0.5189937954330	0.5151655338331	0.5117192929332	0.5086082343333	0.5056203191334	0.5023311677335	0.499029761
36	0.4957814288
37	0.4929001845
38	0.4899799312
39	0.4871788961
40	0.4843773102
41	0.4817887742
42	0.4793426907
43	0.4766988577
44	0.474199145
45	0.4715014251
46	0.469188175
47	0.4667303667
48	0.4645091668
49	0.4623564734
50	0.4601716234
51	0.4583590295
52	0.4563530359
53	0.4545105286
54	0.4526355094
55	0.4507966799
56	0.4488553445
5757	0.4462736055858	0.44464115259	0.4437960663
60	0.4420327192
61	0.440328584
62	0.4389304312
63	0.4373768008
64	0.4359823774
65	0.4347759402
66	0.4330886473
67	0.4316931428
68	0.4300113712
69	0.4285877058
70	0.4274288197
71	0.4260541059
72	0.4244787893
73	0.423248767
74	0.4222630865
75	0.4209653963
76	0.4196662573
77	0.4182629904
78	0.4170997794
79	0.4159965216
80	0.4147650597
81	0.4134515624
82	0.4125149988
83	0.4117096389
84	0.4105659746
85	0.4095501159
86	0.4085967451
87	0.407604494
88	0.4066812225
89	0.4056519518
90	0.4046814331
91	0.4037854154
92	0.4028590604
93	0.4017135414
94	0.4006813676
95	0.3999024691
96	0.3988802592
97	0.3980118266
98	0.396987584
99	0.3959932184
100	0.3951817715
101	0.3944097038
102	0.3936071388
103	0.3926587323
104	0.3919322243
105	0.3912170819
106	0.3902190569
107	0.3894256129
108	0.3884719922
109	0.3877281811
110	0.3870068813
111	0.3860646934
112	0.3855079489
113	0.3847191051
114	0.38412640121115	0.38346391021116	0.38280520831117	0.38213910651118	0.3814382111119	0.38061735112120	0.38116561012121	0.38045782812122	0.37969318412123	0.37911863212124	0.37851584711125	0.3778103101126	0.37641777312127	0.375815128	0128	0.37503129	0.129	0.3743130	0.13130	0.37475061513131	0.373950370132	0.3724127139
13133	0.3727397631134	0.37195186941135	0.37142394291136	0.370646332
137	0.3701155308
138	0.3693179213
139	0.3689132418
140	0.3683002
141	0.3677772245
142	0.3672311453
143	0.36671144	0.144	0.36612145	0.145145	0.36146	0.146146	0.36147	0.147147	0.3635511214148	0.36277603014149	0.36238516015150	0.36164993015151	0.36117154152152	0.36065002153153	0.360154	0154154	0.359155	0155155	0.35884036156156	0.35831458157157	0.357158	0158158	0.357159	0159159	0.356160	0160160	0.356161	0161161	0.355162	0162162	0.35543051163163	0.35492603164164	0.3546010165	165	0.3539354166	166	0.3534391167167	0.35303010168168	0.3526516516169	0.352156110170	0.3532561596
17171	0.35119244172172	0.35070582173173	0.35026345174174	0.3497670637
175	0.349434761
176	0.3489606837
177	0.3485452651
178	0.3481156792
179	0.3476115739
180	0.3472350479
181	0.3467656723
182	0.3464024999
183	0.3458761801
184	0.345283357
